,Modelo,cantidad_de_clusteres,tamanos_de_clusteres,silhouette_score,calinski_harabasz_score,davies_bouldin_score,tiempo
0,kmeans,6,[102  82  78  73  67  30],0.45688083212545,559.711794889639,0.700363165181327,0.0060350894927978516
1,som,6,[94 93 85 59 56 45],0.36493431422718536,421.41302204717226,0.7732378721369552,0.07265639305114746
2,agglomerative,6,[101  93  80  75  58  25],0.37012429675495445,457.1629501622192,0.7778400952670358,0.006133556365966797
3,dbscan,2,[412  20],0.2287408796304105,8.162005865209636,3.0418927335141586,0.0048673152923583984
