,Municipio,mejor_modelo,mejor_modelo,mejor_modelo_nombre,R2,R2,R2,R2,MAE,MAE,MAE,MAE,MSE,MSE,MSE,MSE,RMSE,RMSE,RMSE,RMSE,tiempo,tiempo,tiempo,tiempo
,count,mean,std,first,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std
Modelo,,,,,,,,,,,,,,,,,,,,,,,,
Multiple Linear Regression,113,0.9885390411534909,0.005534982174472465,Regression Tree,0.8038010180898568,0.9965094431905218,0.9167599086942602,0.06145210720548082,0.00012336741900482542,0.13255911298298095,0.007355776708280107,0.01670982685991518,3.302995833222121e-08,0.01912875768284423,0.00040384844939438016,0.0025041781650366568,0.00018174146013560366,0.13830675212311302,0.00821997986616292,0.01841963310684102,0.0005917549133300781,0.0013747215270996094,0.0006873839724380358,0.0001131228680666002
Promedio,432,0.9808173040527364,0.02140636708187253,Support Vector Machine,0.9,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Forest Regression,420,0.9831263698828145,0.01670190994487939,Support Vector Machine,0.8171512626984145,0.9998371587890109,0.9822309408118033,0.01933695447736477,0.00015898253919150243,0.030023067277051618,0.0013396447150103125,0.002564012725635423,3.963334120450427e-08,0.0015359482588715259,1.4270743182391741e-05,9.041676124472006e-05,0.00019908124272392984,0.039191175778120334,0.0017091062936437729,0.0033729492208148695,0.009562492370605469,0.021059036254882812,0.010597404979524157,0.0012645550479638728
Regression Tree,415,0.983850348018144,0.015028282128685429,Support Vector Machine,0.8055010515603356,0.9992876821335639,0.9609035192319254,0.028332137326931742,0.00023961519347541482,0.04835284815498653,0.002039542893913686,0.004086746731851872,7.383202295022637e-08,0.0030301421017746555,3.005219587327268e-05,0.0002060106505340979,0.00027172048680625165,0.05504672653096327,0.0024692536550261174,0.004900290250220303,0.0006804466247558594,0.0017893314361572266,0.0008199599852044898,0.00018513739341856326
Support Vector Machine,6,0.9900588279557213,0.004783619353010475,Support Vector Machine,0.8169673188328253,0.9326079648670962,0.8911377452754231,0.050323561855117896,0.028736475785861984,0.08810815367565583,0.06506474309879552,0.02002969227754667,0.0011789909982651465,0.00837005690328467,0.005006827466641768,0.002410059672146688,0.03433643834565761,0.09148801508003478,0.06852378140398209,0.01932828545136006,0.0006296634674072266,0.0012218952178955078,0.0008007685343424479,0.00022126172446365212
