,Municipio,mejor_modelo,mejor_modelo,mejor_modelo_nombre,R2,R2,R2,R2,MAE,MAE,MAE,MAE,MSE,MSE,MSE,MSE,RMSE,RMSE,RMSE,RMSE,tiempo,tiempo,tiempo,tiempo
,count,mean,std,first,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std
Modelo,,,,,,,,,,,,,,,,,,,,,,,,
Multiple Linear Regression,296,0.9852921190253777,0.013557690026917885,Regression Tree,0.8001973710132603,0.9975307385908038,0.9210079549151602,0.05626947843321226,0.0005967112272401605,0.18332105889840627,0.005554201931242767,0.015444686486648401,7.173701067835417e-07,0.04712020893662802,0.00033257408335625964,0.0033573634394750223,0.0008469770402930304,0.2170718980813224,0.006270522096941053,0.01715367947409119,0.0006411075592041016,0.0012941360473632812,0.0007277340502352328,0.00010446409887497077
Promedio,1117,0.9777169771303664,0.02296696265618063,Support Vector Machine,0.9,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Forest Regression,1076,0.9806259106381011,0.01771904666649326,Support Vector Machine,0.8097285514942556,0.9998026499490825,0.9793972745793511,0.022298876483541525,0.00014967139481274552,0.04437502426393225,0.0011774360196293815,0.002621050264112197,4.032953523099859e-08,0.00377660848957563,1.4996383735316736e-05,0.00014812069122955104,0.00020082214825810072,0.06145411694569884,0.0015243262591136258,0.003561544869087986,0.009964942932128906,0.022078514099121094,0.010667888870026542,0.000783801123516728
Regression Tree,1053,0.982052649696582,0.014688346840769246,Support Vector Machine,0.8067347901079118,0.9989640058205033,0.9512918652704343,0.03236506073859533,0.00022676083263781233,0.07778720253993132,0.0018490045580714658,0.004418913778034088,9.70927602199761e-08,0.013913944359791462,3.600117351256678e-05,0.0004830181459958442,0.00031159711202123825,0.11795738365948721,0.0022822389393035197,0.005551741116963144,0.0007228851318359375,0.002394437789916992,0.000838538293938125,0.00017192930683937284
Support Vector Machine,10,0.9880807175742945,0.006106035727125203,Support Vector Machine,0.8469004690684196,0.9933828583529938,0.9230197491227077,0.05180077682018982,0.026112768596874947,0.08288843546219443,0.051500075113284284,0.019455808105667584,0.0011900552209732178,0.007350665851353993,0.0035833467763221475,0.0021257609235828764,0.03449717700005636,0.0857360242334224,0.057439697989373595,0.01776475509452787,0.0006778240203857422,0.0021209716796875,0.0009119987487792968,0.00045410549747104207
