k,error,tiempo,muestra,estatus
4.0,0.10792163707267231,21.868504762649536,0.1,Optimal
4.0,0.10162087481247122,52.45073175430298,0.1181818181818182,Optimal
6.0,0.09690337480153693,67.67211079597473,0.13636363636363635,Tiempo de ejecución excedido
6.0,0.09103265261200746,98.8586266040802,0.15454545454545454,Tiempo de ejecución excedido
6.0,0.08757747215916176,141.87728214263916,0.17272727272727273,Tiempo de ejecución excedido
6.0,0.08574148307102071,220.06584906578064,0.19090909090909092,Tiempo de ejecución excedido
7.0,0.08551618252296493,317.06393241882324,0.2090909090909091,Tiempo de ejecución excedido
7.0,0.0835293784234495,502.7196035385132,0.22727272727272727,Tiempo de ejecución excedido
7.0,0.08185238788713926,475.03640604019165,0.24545454545454545,Tiempo de ejecución excedido
187.0,0.8324399892493421,610.824230670929,0.26363636363636367,Tiempo de ejecución excedido
217.0,0.905473134403177,634.1516573429108,0.28181818181818186,Tiempo de ejecución excedido
255.0,1.006707453612965,625.7155191898346,0.3,Tiempo de ejecución excedido
