tipo_de_datos,tipo_de_solucion,algoritmo_de_clusterizacion,costo_total,cantidad_de_centros_de_distribucion,tiempo_de_ejecucion,estado,suma_de_demanda_por_cluster,suma_de_demanda_satisfecha_por_cluster,suma_de_capacidad_por_cluster,suma_de_capacidad_utilizada_por_cluster
datos_completos,ingenua,ninguno,1703327255.75,432.0,0.0002512931823730469,satisfecho,252457.77159043096,252457.77159043096,860977.2750000001,252457.77159043096
datos_completos,sin clusterizar,ninguno,1348723508.4644291,222.0,3611.448319673538,Detenido por tiempo,252457.77199636016,252457.77199636016,860977.2750000001,252457.77199636016
datos_completos,clusterizada,kmeans,1345369122.1873062,228.0,49.273528814315796,"['Óptimo', 'Óptimo', 'Óptimo', 'Óptimo', 'Óptimo', 'Óptimo']",302962.89679036004,"[66791.77254936002, 66437.49090899999, 32409.924573999997, 56773.829269000016, 65828.21460600001, 14721.664883000001]",860977.275,"[66791.77254936002, 66437.49090899999, 32409.924573999997, 56773.829269000016, 65828.21460600001, 14721.664883000001]"
datos_completos,clusterizada,som,1350781929.869224,229.0,10.168878316879272,"['Óptimo', 'Óptimo', 'Óptimo', 'Óptimo', 'Óptimo', 'Óptimo']",325722.39558936004,"[88683.29114300002, 78701.18003900001, 28682.530875360004, 44746.319693000005, 26376.76094699999, 58532.31289200001]",860977.2750000001,"[88683.29114300002, 78701.18003900001, 28682.530875360004, 44746.319693000005, 26376.76094699999, 58532.31289200001]"
datos_completos,clusterizada,agglomerative,1343933700.569703,225.0,21.161400318145752,"['Óptimo', 'Óptimo', 'Óptimo', 'Óptimo', 'Óptimo', 'Óptimo']",321295.72006936,"[91753.040145, 59075.77482899999, 33650.29843536001, 66058.28803200001, 55329.568448000005, 15428.750180000001]",860977.275,"[91753.040145, 59075.77482899999, 33650.29843536001, 66058.28803200001, 55329.568448000005, 15428.750180000001]"
datos_completos,clusterizada,dbscan,1348387710.404724,230.0,3608.8365008831024,"['Detenido por tiempo', 'Óptimo']",252922.17580736024,"[244761.84140336025, 8160.334403999999]",860977.2750000001,"[244761.84140336025, 8160.334403999999]"
datos_imperfectos,ingenua,ninguno,3820134763.5,1117.0,0.0004343986511230469,satisfecho,295405.89010124176,295405.89010124176,1586477.7750000004,295405.89010124176
datos_imperfectos,sin clusterizar,ninguno,2638394832.973866,286.0,3658.541161298752,Detenido por tiempo,295405.8907132999,295405.8907132999,1586477.7750000004,295405.8907132999
datos_imperfectos,clusterizada,kmeans,2261337206.0351295,368.0,12109.992557287216,"['Óptimo', 'Óptimo', 'Detenido por tiempo', 'Óptimo', 'Óptimo', 'Óptimo', 'Óptimo', 'Detenido por tiempo', 'Óptimo', 'Óptimo', 'Detenido por tiempo', 'Óptimo', 'Óptimo', 'Óptimo', 'Óptimo', 'Óptimo', 'Óptimo', 'Óptimo', 'Óptimo', 'Óptimo']",328771.5858419999,"[33639.261881, 23988.559243, 10468.839986799998, 21791.450210000006, 9374.971606999998, 10126.31403, 24139.470374999986, 8143.692632100001, 6444.8001471, 41709.08147700001, 63083.47938499999, 15270.368198000004, 199.8070647, 3472.796146, 39155.496730000006, 13919.849803000001, 703.6823975, 2449.386259, 424.39221499999996, 265.8860548]",1586477.775,"[33639.261881, 23988.559243, 10468.839986799998, 21791.450210000006, 9374.971606999998, 10126.31403, 24139.470374999986, 8143.692632100001, 6444.8001471, 41709.08147700001, 63083.47938499999, 15270.368198000004, 199.8070647, 3472.796146, 39155.496730000006, 13919.849803000001, 703.6823975, 2449.386259, 424.39221499999996, 265.8860548]"
datos_imperfectos,clusterizada,som,2260056963.0170455,364.0,11888.210413455963,"['Óptimo', 'Óptimo', 'Óptimo', 'Óptimo', 'Óptimo', 'Óptimo', 'Detenido por tiempo', 'Óptimo', 'Detenido por tiempo', 'Óptimo', 'Óptimo', 'Óptimo', 'Óptimo', 'Óptimo', 'Detenido por tiempo', 'Óptimo', 'Óptimo', 'Óptimo', 'Óptimo', 'Óptimo']",356901.313423,"[34072.339249000004, 7950.349935000005, 19821.227250999997, 4844.9378317, 18882.540664, 3419.9553419999997, 8526.563117499996, 4304.656, 22557.873075999996, 1796.959919, 42590.47672800001, 11820.788857, 19532.604758000005, 5614.099152100002, 14742.26999269999, 6436.666353000001, 2118.394672000001, 37310.903046, 77054.57210899999, 13503.135370000002]",1586477.7750000001,"[34072.339249000004, 7950.349935000005, 19821.227250999997, 4844.9378317, 18882.540664, 3419.9553419999997, 8526.563117499996, 4304.656, 22557.873075999996, 1796.959919, 42590.47672800001, 11820.788857, 19532.604758000005, 5614.099152100002, 14742.26999269999, 6436.666353000001, 2118.394672000001, 37310.903046, 77054.57210899999, 13503.135370000002]"
