tipo_de_datos,tipo_de_solucion,algoritmo_de_clusterizacion,costo_total,cantidad_de_centros_de_distribucion,tiempo_de_ejecucion,estado,suma_de_demanda_por_cluster,suma_de_demanda_satisfecha_por_cluster,suma_de_capacidad_por_cluster,suma_de_capacidad_utilizada_por_cluster
datos_imperfectos,clusterizada,kmeans,2262463575.558744,349.0,18013.468131542206,"['Detenido por tiempo', 'Detenido por tiempo', 'Detenido por tiempo', 'Detenido por tiempo', 'Detenido por tiempo', 'Óptimo']",295405.8907584101,"[60103.51289841002, 75767.76761880002, 69034.41478599998, 35728.42675720002, 53664.623636000004, 1107.145062]",1586477.775,"[60103.51289841002, 75767.76761880002, 69034.41478599998, 35728.42675720002, 53664.623636000004, 1107.145062]"
datos_imperfectos,clusterizada,som,2258369849.1174574,361.0,18094.860223293304,"['Detenido por tiempo', 'Detenido por tiempo', 'Detenido por tiempo', 'Detenido por tiempo', 'Detenido por tiempo', 'Óptimo']",295640.91392059997,"[49366.783663, 67889.25677229998, 73151.83006999998, 26051.27119270001, 67271.83054899999, 11909.9416736]",1586477.775,"[49366.783663, 67889.25677229998, 73151.83006999998, 26051.27119270001, 67271.83054899999, 11909.9416736]"
datos_imperfectos,clusterizada,agglomerative,2256299256.7333713,352.0,18014.34883570671,"['Detenido por tiempo', 'Detenido por tiempo', 'Detenido por tiempo', 'Detenido por tiempo', 'Detenido por tiempo', 'Óptimo']",295405.89075879,"[61038.85784341, 42242.99658428002, 64795.04097699998, 53476.948026, 71748.28032110001, 2103.767007]",1586477.7750000001,"[61038.85784341, 42242.99658428002, 64795.04097699998, 53476.948026, 71748.28032110001, 2103.767007]"
datos_imperfectos,clusterizada,dbscan,2580923111.99216,293.0,3656.8164355754852,"['Detenido por tiempo', 'Óptimo', 'Óptimo']",296108.05233931,"[291411.92827931, 4252.4495940000015, 443.67446599999994]",1586477.7750000004,"[291411.92827931, 4252.4495940000015, 443.67446599999994]"
