k,error,tiempo,muestra,estatus
4.0,0.10792163707267231,21.017167329788208,0.1,Optimal
4.0,0.10162087481247122,51.12269401550293,0.1181818181818182,Optimal
6.0,0.09690337480153693,66.02182483673096,0.13636363636363635,Tiempo de ejecución excedido
6.0,0.09103265261200746,101.011723279953,0.15454545454545454,Tiempo de ejecución excedido
6.0,0.08757747215916176,142.32775259017944,0.17272727272727273,Tiempo de ejecución excedido
6.0,0.08574148307102071,216.08677339553833,0.19090909090909092,Tiempo de ejecución excedido
7.0,0.08551618252296493,312.88859510421753,0.2090909090909091,Tiempo de ejecución excedido
7.0,0.0835293784234495,485.02352952957153,0.22727272727272727,Tiempo de ejecución excedido
7.0,0.08185238788713926,476.67413449287415,0.24545454545454545,Tiempo de ejecución excedido
187.0,0.8324399892493421,617.7629182338715,0.26363636363636367,Tiempo de ejecución excedido
217.0,0.905473134403177,634.2091534137726,0.28181818181818186,Tiempo de ejecución excedido
255.0,1.006707453612965,611.5406000614166,0.3,Tiempo de ejecución excedido
